Telstra ID,Ticket Type,Cycle Status,Service,Assignment Group,Reporting Region,Priority,CEC,Open Date Time,Assignee,Resolved/Closed Date,Category,Status,Parent ID,Site Name,Update Time,Known Error
CH-0069,Ch - Task,Suspended,Voice,PROCESS MOBILES SERVCES,Unknown,3,5AD,25/3/2022,Jane Doe,,Change,Open,PRB-0014,,15/04/2022 00:00,
CH-0074,Ch - Normal,Suspended,Mobile,PROCESS VOICE SERVICES,North West,4,ZX2,28/3/2022,John.Doe@domain.com,11/9/2022 12:29,Change,Closed,PRB-0015,,11/09/2022 12:29,
CH-0079,Ch - Emergency,Suspended,Video,PROCESS VOICE SERVICES,Unknown,2,JD9,30/3/2022,Jane Doe,,Change,Open,PRB-0016,,10/04/2022 00:00,
CH-0084,Ch - Service Request,Suspended,Voice,PROCESS VIDEO SERVICES,North West,4,9GF,1/4/2022,Jane.Doe@domain.com,13/9/2022 0:29,Change,Closed,PRB-0017,0,13/09/2022 00:29,
CH-0089,Ch - Task,Suspended,Mobile,PROCESS MOBILES SERVCES,Unknown,,5AD,3/4/2022,Jane Doe,,Change,Open,PRB-0018,0,16/04/2022 00:00,
CH-0094,Ch - Normal,Suspended,Video,PROCESS VIDEO SERVICES,North West,,ZX2,6/4/2022,John.Doe@domain.com,,Change,Open,PRB-0019,Site Name 1,12/04/2022 00:00,
CH-0099,Ch - Emergency,Suspended,Voice,PROCESS VIDEO SERVICES,Unknown,4,JD9,8/4/2022,Jane Doe,14/9/2022 12:29,Change,Closed,PRB-0020,Site Name 5,14/09/2022 12:29,
CH-0107,Ch - Emergency,Suspended,Mobile,PROCESS MOBILES SERVCES,North West,2,5AD,10/4/2022,Jane.Doe@domain.com,,Change,Open,PRB-0021,Site Name 6,11/04/2022 00:00,
CH-0117,Ch - Task,Suspended,Video,PROCESS VOICE SERVICES,Unknown,4,ZX2,12/4/2022,Joe Blow,16/9/2022 0:29,Change,Closed,PRB-0022,Site Name 5,16/09/2022 00:29,
CH-0127,Ch - Emergency,Suspended,Voice,PROCESS MOBILES SERVCES,North West,3,JD9,15/4/2022,Jane Doe,,Change,Open,PRB-0023,Site Name 1,08/05/2022 00:00,
CH-0137,Ch - Task,Suspended,Mobile,PROCESS MOBILES SERVCES,Unknown,U,ZX2,17/4/2022,Jane.Doe@domain.com,,Change,Open,PRB-0024,,23/04/2022 00:00,
CH-0147,Ch - Emergency,Suspended,Video,PROCESS MOBILES SERVCES,North West,4,9GF,19/4/2022,Joe Blow,17/9/2022 12:29,Change,Closed,PRB-0025,,17/09/2022 12:29,
CH-0157,Ch - Task,Suspended,Voice,PROCESS VIDEO SERVICES,Unknown,4,JD10,21/4/2022,Joe Blow,,Change,Open,PRB-0026,,29/04/2022 00:00,
CH-0167,Ch - Emergency,Suspended,Mobile,PROCESS MOBILES SERVCES,North West,2,ZX3,24/4/2022,Joe Citizen,19/9/2022 0:29,Change,Closed,PRB-0027,0,19/09/2022 00:29,
CH-0177,Ch - Task,Suspended,Video,PROCESS MOBILES SERVCES,Unknown,3,5AD,26/4/2022,Joe Citizen,,Change,Open,PRB-0028,0,12/05/2022 00:00,
CH-0187,Ch - Emergency,Suspended,Voice,PROCESS VOICE SERVICES,North West,2,5AD,28/4/2022,Joe Citizen,,Change,Open,PRB-0029,Site Name 5,30/04/2022 00:00,
CH-0197,Ch - Task,Suspended,Mobile,PROCESS MOBILES SERVCES,Unknown,,ZX3,30/4/2022,Jane.Doe@domain.com,20/9/2022 12:29,Change,Closed,PRB-0030,Site Name 6,20/09/2022 12:29,
CH-0207,Ch - Emergency,Suspended,Video,PROCESS VOICE SERVICES,North West,,JD10,3/5/2022,Jane Doe,,Change,Open,PRB-0031,Site Name 7,05/05/2022 00:00,
CH-0217,Ch - Task,Suspended,Voice,PROCESS VOICE SERVICES,Unknown,2,9GF,5/5/2022,John.Doe@domain.com,22/9/2022 0:29,Change,Closed,PRB-0032,Site Name 6,22/09/2022 00:29,
CH-0223,Ch - Emergency,Suspended,Mobile,PROCESS VIDEO SERVICES,Unknown,3,ZX2,2/1/2022,Jane Doe,,Change,Open,PRB-0033,Site Name 5,08/01/2022 00:00,
CH-0229,Ch - Task,Suspended,Video,PROCESS MOBILES SERVCES,North West,2,ZX2,4/1/2022,Jane.Doe@domain.com,20/8/2022 12:29,Change,Closed,PRB-0034,,20/08/2022 12:29,
CH-0235,Ch - Emergency,Suspended,Voice,PROCESS VIDEO SERVICES,Unknown,4,JD10,6/1/2022,Jane Doe,,Change,Open,PRB-0035,,22/01/2022 00:00,
CH-0241,Ch - Task,Suspended,Mobile,PROCESS VIDEO SERVICES,North West,4,5AD,9/1/2022,Jane.Doe@domain.com,22/8/2022 0:29,Change,Closed,PRB-0036,,22/08/2022 00:29,
CH-0247,Ch - Emergency,Suspended,Video,PROCESS MOBILES SERVCES,Unknown,2,ZX2,11/1/2022,Jane Doe,,Change,Open,PRB-0037,0,16/01/2022 00:00,
CH-0253,Ch - Task,Suspended,Voice,PROCESS VOICE SERVICES,North West,2,JD10,13/1/2022,,,Change,Open,PRB-0038,0,22/01/2022 00:00,
CH-0259,Ch - Emergency,Suspended,Mobile,PROCESS MOBILES SERVCES,Unknown,3,ZX2,15/1/2022,,23/8/2022 12:29,Change,Closed,PRB-0039,Site Name 6,23/08/2022 12:29,
CH-0265,Ch - Task,Suspended,Video,PROCESS MOBILES SERVCES,North West,4,9GF,18/1/2022,Jane.Doe@domain.com,,Change,Open,PRB-0040,Site Name 7,27/01/2022 00:00,
CH-0271,Ch - Emergency,Suspended,Voice,PROCESS MOBILES SERVCES,Unknown,3,JD11,20/1/2022,Jane Doe,25/8/2022 0:29,Change,Closed,PRB-0041,Site Name 8,25/08/2022 00:29,
CH-0277,Ch - Task,Suspended,Mobile,PROCESS VIDEO SERVICES,North West,,ZX4,22/1/2022,Jane.Doe@domain.com,,Change,Open,PRB-0042,Site Name 7,26/01/2022 00:00,
CH-0283,Ch - Emergency,Suspended,Video,PROCESS MOBILES SERVCES,Unknown,,5AD,24/1/2022,Jane Doe,,Change,Open,PRB-0043,Site Name 6,08/02/2022 00:00,
CH-0289,Ch - Task,Suspended,Voice,PROCESS MOBILES SERVCES,North West,3,5AD,27/1/2022,,26/8/2022 12:29,Change,Closed,PRB-0044,,26/08/2022 12:29,
CH-0295,Ch - Emergency,Suspended,Mobile,PROCESS VOICE SERVICES,Unknown,4,ZX4,29/1/2022,,,Change,Open,PRB-0045,,13/02/2022 00:00,
CH-0301,Ch - Task,Suspended,Video,PROCESS MOBILES SERVCES,North West,3,JD11,31/1/2022,John Doe,28/8/2022 0:29,Change,Closed,PRB-0046,,28/08/2022 00:29,
CH-0307,Ch - Emergency,Suspended,Voice,PROCESS VOICE SERVICES,Unknown,2,9GF,2/2/2022,Jane.Doe@domain.com,,Change,Open,PRB-0047,0,19/02/2022 00:00,
CH-0313,Ch - Task,Suspended,Mobile,PROCESS VOICE SERVICES,North West,2,ZX2,5/2/2022,Jane Doe,,Change,Open,PRB-0048,0,09/02/2022 00:00,
CH-0319,Ch - Emergency,Suspended,Video,PROCESS VIDEO SERVICES,Unknown,3,ZX2,7/2/2022,John.Doe@domain.com,29/8/2022 12:29,Change,Closed,PRB-0049,Site Name 7,29/08/2022 12:29,
CH-0325,Ch - Task,Suspended,Voice,PROCESS MOBILES SERVCES,North West,3,JD11,9/2/2022,Jane Doe,,Change,Open,PRB-0050,Site Name 8,18/02/2022 00:00,
CH-0331,Ch - Emergency,Suspended,Mobile,PROCESS VIDEO SERVICES,Unknown,4,5AD,11/2/2022,Jane.Doe@domain.com,31/8/2022 0:29,Change,Closed,PRB-0051,Site Name 9,31/08/2022 00:29,
CH-0337,Ch - Task,Suspended,Video,PROCESS VIDEO SERVICES,North West,2,ZX2,14/2/2022,Jane Doe,,Change,Open,PRB-0052,Site Name 8,16/02/2022 00:00,
CH-0343,Ch - Emergency,Suspended,Voice,PROCESS MOBILES SERVCES,Unknown,4,JD11,16/2/2022,Jane.Doe@domain.com,,Change,Open,,Site Name 7,03/03/2022 00:00,
CH-0349,Ch - Task,Suspended,Mobile,PROCESS VOICE SERVICES,North West,,ZX2,18/2/2022,Jane Doe,1/9/2022 12:29,Change,Closed,,,01/09/2022 12:29,
CH-0355,Ch - Emergency,Suspended,Video,PROCESS MOBILES SERVCES,Unknown,,9GF,20/2/2022,,,Change,Open,,,04/03/2022 00:00,
CH-0361,Ch - Task,Suspended,Voice,PROCESS MOBILES SERVCES,North West,4,JD12,23/2/2022,,3/9/2022 0:29,Change,Closed,,,03/09/2022 00:29,
CH-0367,Ch - Emergency,Suspended,Mobile,PROCESS MOBILES SERVCES,Unknown,2,ZX5,25/2/2022,Jane.Doe@domain.com,,Change,Open,,0,28/02/2022 00:00,
CH-0373,Ch - Task,Suspended,Video,PROCESS VIDEO SERVICES,North West,4,5AD,27/2/2022,Jane Doe,,Change,Open,,0,08/03/2022 00:00,
CH-0379,Ch - Emergency,Suspended,Voice,PROCESS MOBILES SERVCES,Unknown,3,5AD,1/3/2022,Jane.Doe@domain.com,4/9/2022 12:29,Change,Closed,,Site Name 8,04/09/2022 12:29,
CH-0385,Ch - Task,Suspended,Mobile,PROCESS MOBILES SERVCES,North West,3,ZX5,4/3/2022,Jane Doe,,Change,Open,,Site Name 9,23/03/2022 00:00,
CH-0391,Ch - Emergency,Suspended,Video,PROCESS VOICE SERVICES,Unknown,4,JD12,6/3/2022,,6/9/2022 0:29,Change,Closed,,Site Name 10,06/09/2022 00:29,
CH-0397,Ch - Task,Suspended,Voice,PROCESS MOBILES SERVCES,North West,4,9GF,8/3/2022,,,Change,Open,,Site Name 9,11/03/2022 00:00,
CH-0403,Ch - Emergency,Suspended,Mobile,PROCESS VOICE SERVICES,Unknown,2,ZX2,10/3/2022,John Doe,,Change,Open,,Site Name 8,27/03/2022 00:00,
CH-0409,Ch - Task,Suspended,Video,PROCESS VOICE SERVICES,North West,3,ZX2,13/3/2022,Jane.Doe@domain.com,7/9/2022 12:29,Change,Closed,,,07/09/2022 12:29,
CH-0415,Ch - Emergency,Suspended,Voice,PROCESS VIDEO SERVICES,Unknown,2,JD12,15/3/2022,Jane Doe,,Change,Open,,,31/03/2022 00:00,
CH-0421,Ch - Task,Suspended,Mobile,PROCESS MOBILES SERVCES,North West,,5AD,17/3/2022,John.Doe@domain.com,9/9/2022 0:29,Change,Closed,,,09/09/2022 00:29,
CH-0427,Ch - Emergency,Suspended,Video,PROCESS VIDEO SERVICES,Unknown,,ZX2,19/3/2022,Jane Doe,,Change,Open,,0,31/03/2022 00:00,
CH-0433,Ch - Task,Suspended,Voice,PROCESS VIDEO SERVICES,North West,2,JD12,22/3/2022,Jane.Doe@domain.com,,Change,Open,,0,09/04/2022 00:00,
CH-0439,Ch - Emergency,Suspended,Mobile,PROCESS MOBILES SERVCES,Unknown,3,ZX2,24/3/2022,Jane Doe,10/9/2022 12:29,Change,Closed,,Site Name 9,10/09/2022 12:29,
CH-0445,Ch - Task,Suspended,Video,PROCESS VOICE SERVICES,North West,2,9GF,26/3/2022,Jane.Doe@domain.com,,Change,Open,,Site Name 10,13/04/2022 00:00,
CH-0451,Ch - Emergency,Suspended,Voice,PROCESS MOBILES SERVCES,Unknown,4,JD13,28/3/2022,Jane Doe,12/9/2022 0:29,Change,Closed,,Site Name 11,12/09/2022 00:29,
CH-0457,Ch - Task,Suspended,Mobile,PROCESS MOBILES SERVCES,North West,4,ZX6,31/3/2022,,,Change,Open,,Site Name 10,01/04/2022 00:00,
CH-0463,Ch - Emergency,Suspended,Video,PROCESS MOBILES SERVCES,Unknown,2,5AD,2/4/2022,,,Change,Open,,Site Name 9,21/04/2022 00:00,
CH-0469,Ch - Task,Suspended,Voice,PROCESS VIDEO SERVICES,North West,2,5AD,4/4/2022,Jane.Doe@domain.com,13/9/2022 12:29,Change,Closed,,,13/09/2022 12:29,
CH-0475,Ch - Emergency,Suspended,Mobile,PROCESS MOBILES SERVCES,Unknown,3,ZX6,6/4/2022,Joe Blow@domain.com,,Change,Open,,,07/04/2022 00:00,
CH-0481,Ch - Task,Suspended,Video,PROCESS MOBILES SERVCES,North West,4,JD13,9/4/2022,Joe.Blow.defence,15/9/2022 0:29,Change,Closed,,,15/09/2022 00:29,
CH-0487,Ch - Emergency,Suspended,Voice,PROCESS VOICE SERVICES,Unknown,3,9GF,11/4/2022,Joe Citizen,,Change,Open,,0,23/04/2022 00:00,
CH-0493,Ch - Task,Suspended,Mobile,PROCESS MOBILES SERVCES,North West,,ZX2,13/4/2022,Joe Citizen,,Change,Open,,0,05/05/2022 00:00,
CH-0499,Ch - Emergency,Suspended,Video,PROCESS VOICE SERVICES,Unknown,,ZX2,15/4/2022,Joe Citizen,16/9/2022 12:29,Change,Closed,,Site Name 10,16/09/2022 12:29,
INC-0240,Incident,Suspended,Voice,PROCESS VOICE SERVICES,North West,3,JD13,10/1/2022,John Doe,,Incident,Open,,Site Name 11,22/01/2022 00:00,
INC-0245,Incident,Suspended,Mobile,PROCESS VIDEO SERVICES,Unknown,4,5AD,12/1/2022,Jane.Doe@domain.com,23/8/2022 0:29,Incident,Closed,,Site Name 12,23/08/2022 00:29,
INC-0250,Incident,Suspended,Video,PROCESS MOBILES SERVCES,North West,3,ZX2,15/1/2022,Jane Doe,,Incident,Open,,Site Name 11,23/01/2022 00:00,
INC-0255,Incident,Suspended,Voice,PROCESS VIDEO SERVICES,Unknown,2,JD13,17/1/2022,John.Doe@domain.com,,Incident,Open,,Site Name 10,25/01/2022 00:00,
INC-0260,Incident,Suspended,Mobile,PROCESS VIDEO SERVICES,North West,2,ZX2,19/1/2022,Jane Doe,24/8/2022 12:29,Incident,Closed,,,24/08/2022 12:29,
INC-0265,Incident,Suspended,Video,PROCESS MOBILES SERVCES,Unknown,3,9GF,21/1/2022,Jane.Doe@domain.com,,Incident,Open,,,13/02/2022 00:00,
INC-0270,Incident,Suspended,Voice,PROCESS VOICE SERVICES,North West,3,JD14,24/1/2022,Jane Doe,26/8/2022 0:29,Incident,Closed,,,26/08/2022 00:29,
INC-0275,Incident,Suspended,Mobile,PROCESS MOBILES SERVCES,Unknown,4,ZX7,26/1/2022,Jane.Doe@domain.com,,Incident,Open,,0,12/02/2022 00:00,
INC-0280,Incident,Suspended,Video,PROCESS MOBILES SERVCES,North West,2,5AD,28/1/2022,Jane Doe,,Incident,Open,,0,01/02/2022 00:00,
INC-0285,Incident,Suspended,Voice,PROCESS MOBILES SERVCES,Unknown,4,5AD,30/1/2022,,27/8/2022 12:29,Incident,Closed,,Site Name 11,27/08/2022 12:29,
INC-0290,Incident,Suspended,Mobile,PROCESS VIDEO SERVICES,North West,,ZX7,2/2/2022,,,Incident,Open,,Site Name 12,06/02/2022 00:00,
INC-0295,Incident,Suspended,Video,PROCESS MOBILES SERVCES,Unknown,,JD14,4/2/2022,Jane.Doe@domain.com,29/8/2022 0:29,Incident,Closed,,Site Name 13,29/08/2022 00:29,
INC-0300,Incident,Suspended,Voice,PROCESS MOBILES SERVCES,North West,4,9GF,6/2/2022,Jane Doe,,Incident,Open,,Site Name 12,15/02/2022 00:00,
Serv-0005,Service Request,Suspended,Mobile,PROCESS VOICE SERVICES,Unknown,2,ZX2,8/2/2022,Jane.Doe@domain.com,,Service Request,Open,,Site Name 11,15/02/2022 00:00,
Serv-0010,Service Request,Suspended,Video,PROCESS MOBILES SERVCES,North West,4,ZX2,11/2/2022,Jane Doe,30/8/2022 12:29,Service Request,Closed,,,30/08/2022 12:29,
Serv-0015,Service Request,Suspended,Voice,PROCESS VOICE SERVICES,Unknown,3,JD14,13/2/2022,,,Service Request,Open,,,16/02/2022 00:00,
Serv-0020,Service Request,Suspended,Mobile,PROCESS VOICE SERVICES,North West,3,5AD,15/2/2022,,1/9/2022 0:29,Service Request,Closed,,,01/09/2022 00:29,
Serv-0025,Service Request,Suspended,Video,PROCESS VIDEO SERVICES,Unknown,4,ZX2,17/2/2022,John Doe,,Service Request,Open,,0,12/03/2022 00:00,
Serv-0030,Service Request,Suspended,Voice,PROCESS MOBILES SERVCES,North West,4,JD14,20/2/2022,Jane.Doe@domain.com,,Service Request,Open,,0,09/03/2022 00:00,
Serv-0035,Service Request,Suspended,Mobile,PROCESS VIDEO SERVICES,Unknown,2,ZX2,22/2/2022,Jane Doe,2/9/2022 12:29,Service Request,Closed,,Site Name 12,02/09/2022 12:29,
Serv-0239,Service Request,Suspended,Video,PROCESS VIDEO SERVICES,North West,3,9GF,18/4/2022,John.Doe@domain.com,,Service Request,Open,,Site Name 13,20/04/2022 00:00,
Serv-0242,Service Request,Suspended,Voice,PROCESS MOBILES SERVCES,Unknown,2,JD15,20/4/2022,Jane Doe,18/9/2022 0:29,Service Request,Closed,,Site Name 14,18/09/2022 00:29,
Serv-0245,Service Request,Suspended,Mobile,PROCESS VOICE SERVICES,North West,,ZX8,22/4/2022,Jane.Doe@domain.com,,Service Request,Open,,Site Name 13,24/04/2022 00:00,
Serv-0248,Service Request,Suspended,Video,PROCESS MOBILES SERVCES,Unknown,,5AD,24/4/2022,Jane Doe,,Service Request,Open,,Site Name 12,27/04/2022 00:00,
Serv-0251,Service Request,Suspended,Voice,PROCESS MOBILES SERVCES,North West,2,5AD,27/4/2022,Jane.Doe@domain.com,19/9/2022 12:29,Service Request,Closed,,,19/09/2022 12:29,
Serv-0254,Service Request,Suspended,Mobile,PROCESS MOBILES SERVCES,Unknown,3,ZX8,29/4/2022,Jane Doe,,Service Request,Open,,,12/05/2022 00:00,
Serv-0257,Service Request,Suspended,Video,PROCESS VIDEO SERVICES,North West,2,JD15,1/5/2022,,21/9/2022 0:29,Service Request,Closed,,,21/09/2022 00:29,
Serv-0260,Service Request,Suspended,Voice,PROCESS MOBILES SERVCES,Unknown,4,9GF,3/5/2022,,,Service Request,Open,,0,23/05/2022 00:00,
PRB-0037,Problem,Suspended,Mobile,PROCESS MOBILES SERVCES,North West,4,ZX2,3/1/2022,Jane.Doe@domain.com,,Problem,Open,,0,14/01/2022 00:00,0
PRB-0038,Problem,Suspended,Video,PROCESS VOICE SERVICES,Unknown,2,ZX2,5/1/2022,Jane Doe,21/8/2022 0:29,Problem,Closed,,Site Name 13,21/08/2022 00:29,FALSE
PRB-0039,Problem,Suspended,Voice,PROCESS MOBILES SERVCES,North West,2,JD15,7/1/2022,Jane.Doe@domain.com,,Problem,Open,,Site Name 14,28/01/2022 00:00,
PRB-0040,Problem,Suspended,Mobile,PROCESS VOICE SERVICES,Unknown,3,5AD,9/1/2022,Jane Doe,,Problem,Open,,Site Name 15,22/01/2022 00:00,
PRB-0041,Problem,Suspended,Video,PROCESS VOICE SERVICES,North West,4,ZX2,12/1/2022,,22/8/2022 12:29,Problem,Closed,,Site Name 14,22/08/2022 12:29,TRUE
PRB-0042,Problem,Suspended,Voice,PROCESS VIDEO SERVICES,Unknown,3,JD15,14/1/2022,,,Problem,Open,,Site Name 13,06/02/2022 00:00,
PRB-0043,Problem,Suspended,Mobile,PROCESS MOBILES SERVCES,North West,,ZX2,16/1/2022,John Doe,24/8/2022 0:29,Problem,Closed,,,24/08/2022 00:29,TRUE
PRB-0044,Problem,Suspended,Video,PROCESS VIDEO SERVICES,Unknown,,9GF,18/1/2022,Jane.Doe@domain.com,,Problem,Open,,,21/01/2022 00:00,
PRB-0045,Problem,Suspended,Voice,PROCESS VIDEO SERVICES,North West,3,JD16,21/1/2022,Jane Doe,,Problem,Open,,,29/01/2022 00:00,0
PRB-0046,Problem,Suspended,Mobile,PROCESS MOBILES SERVCES,Unknown,4,ZX9,23/1/2022,John.Doe@domain.com,25/8/2022 12:29,Problem,Closed,,0,25/08/2022 12:29,
PRB-0047,Problem,Suspended,Video,PROCESS VOICE SERVICES,North West,3,5AD,25/1/2022,Jane Doe,,Problem,Open,,0,14/02/2022 00:00,
PRB-0048,Problem,Suspended,Voice,PROCESS MOBILES SERVCES,Unknown,2,5AD,27/1/2022,Jane.Doe@domain.com,27/8/2022 0:29,Problem,Closed,,Site Name 14,27/08/2022 00:29,FALSE
PRB-0049,Problem,Suspended,Mobile,PROCESS MOBILES SERVCES,North West,2,ZX9,30/1/2022,Jane Doe,,Problem,Open,,Site Name 15,20/02/2022 00:00,FALSE
PRB-0050,Problem,Suspended,Video,PROCESS MOBILES SERVCES,Unknown,3,JD16,1/2/2022,Jane.Doe@domain.com,,Problem,Open,,Site Name 16,16/02/2022 00:00,FALSE
PRB-0051,Problem,Suspended,Voice,PROCESS VIDEO SERVICES,North West,3,9GF,3/2/2022,Jane Doe,28/8/2022 12:29,Problem,Closed,,Site Name 15,28/08/2022 12:29,FALSE
PRB-0052,Problem,Suspended,Mobile,PROCESS MOBILES SERVCES,Unknown,4,ZX2,5/2/2022,,,Problem,Open,,Site Name 14,20/02/2022 00:00,FALSE
PRB-0053,Problem,Suspended,Video,PROCESS MOBILES SERVCES,North West,2,ZX2,8/2/2022,,30/8/2022 0:29,Problem,Closed,,,30/08/2022 00:29,FALSE
PRB-0054,Problem,Suspended,Voice,PROCESS VOICE SERVICES,Unknown,4,JD16,10/2/2022,Jane.Doe@domain.com,,Problem,Open,,,15/02/2022 00:00,FALSE
PRB-0055,Problem,Suspended,Mobile,PROCESS MOBILES SERVCES,North West,,5AD,12/2/2022,Jane Doe,,Problem,Open,,,25/02/2022 00:00,FALSE
PRB-0056,Problem,Suspended,Video,PROCESS VOICE SERVICES,Unknown,,ZX2,14/2/2022,Jane.Doe@domain.com,31/8/2022 12:29,Problem,Closed,,0,31/08/2022 12:29,FALSE
PRB-0057,Problem,Suspended,Voice,PROCESS VOICE SERVICES,North West,4,JD16,17/2/2022,Jane Doe,,Problem,Open,,0,27/02/2022 00:00,FALSE
PRB-0058,Problem,Suspended,Mobile,PROCESS VIDEO SERVICES,Unknown,2,ZX2,19/2/2022,,2/9/2022 0:29,Problem,Closed,,Site Name 15,02/09/2022 00:29,FALSE
PRB-0059,Problem,Suspended,Video,PROCESS MOBILES SERVCES,North West,4,9GF,21/2/2022,,,Problem,Open,,Site Name 16,13/03/2022 00:00,FALSE
PRB-0060,Problem,Suspended,Voice,PROCESS VIDEO SERVICES,Unknown,3,JD17,23/2/2022,John Doe,,Problem,Open,,Site Name 17,08/03/2022 00:00,FALSE
PRB-0061,Problem,Suspended,Mobile,PROCESS VIDEO SERVICES,North West,3,ZX10,26/2/2022,Jane.Doe@domain.com,3/9/2022 12:29,Problem,Closed,,Site Name 16,03/09/2022 12:29,FALSE
PRB-0062,Problem,Suspended,Video,PROCESS MOBILES SERVCES,Unknown,4,5AD,28/2/2022,Jane Doe,,Problem,Open,,Site Name 15,05/03/2022 00:00,FALSE
PRB-0063,Problem,Suspended,Voice,PROCESS VOICE SERVICES,North West,4,5AD,2/3/2022,John.Doe@domain.com,5/9/2022 0:29,Problem,Closed,,,05/09/2022 00:29,FALSE
PRB-0064,Problem,Suspended,Mobile,PROCESS MOBILES SERVCES,Unknown,2,ZX10,4/3/2022,Joe Blow,,Problem,Open,,,11/03/2022 00:00,FALSE
PRB-0065,Problem,Suspended,Video,PROCESS MOBILES SERVCES,North West,3,JD17,7/3/2022,Joe Blow,,Problem,Open,,,15/03/2022 00:00,FALSE
PRB-0066,Problem,Suspended,Voice,PROCESS MOBILES SERVCES,Unknown,2,9GF,9/3/2022,Joe Citizen,6/9/2022 12:29,Problem,Closed,,0,06/09/2022 12:29,FALSE
PRB-0067,Problem,Suspended,Mobile,PROCESS VIDEO SERVICES,North West,,ZX2,11/3/2022,Joe Citizen,,Problem,Open,,0,29/03/2022 00:00,FALSE
PRB-0068,Problem,Suspended,Video,PROCESS MOBILES SERVCES,Unknown,,ZX2,13/3/2022,Joe Citizen,8/9/2022 0:29,Problem,Closed,,Site Name 16,08/09/2022 00:29,FALSE
PRB-0069,Problem,Suspended,Voice,PROCESS MOBILES SERVCES,North West,2,JD17,16/3/2022,,,Problem,Open,,Site Name 17,20/03/2022 00:00,FALSE
PRB-0070,Problem,Suspended,Mobile,PROCESS VOICE SERVICES,Unknown,3,5AD,18/3/2022,,,Problem,Open,,Site Name 18,09/04/2022 00:00,FALSE
PRB-0071,Problem,Suspended,Video,PROCESS MOBILES SERVCES,North West,2,ZX2,20/3/2022,Jane.Doe@domain.com,9/9/2022 12:29,Problem,Closed,,Site Name 17,09/09/2022 12:29,FALSE
PRB-0072,Problem,Suspended,Voice,PROCESS VOICE SERVICES,Unknown,4,JD17,22/3/2022,Jane Doe,,Problem,Open,,Site Name 16,30/03/2022 00:00,FALSE
PRB-0073,Problem,Suspended,Mobile,PROCESS VOICE SERVICES,North West,4,ZX2,25/3/2022,Jane.Doe@domain.com,11/9/2022 0:29,Problem,Closed,,,11/09/2022 00:29,FALSE
PRB-0074,Problem,Suspended,Video,PROCESS VIDEO SERVICES,Unknown,2,9GF,27/3/2022,Jane Doe,,Problem,Open,,,06/04/2022 00:00,FALSE
